question,document
Why does my Kestra flow say the Gemini key is missing even though I exported SECRET_GEMINI_API_KEY?,c8ca21af33
Could a weird base64 encoding be breaking my Gemini secret in Kestra?,c8ca21af33
Do I need to restart Kestra after changing the API key environment variables?,c8ca21af33
"Should I call the secret as SECRET_GEMINI_API_KEY inside the flow, or just GEMINI_API_KEY?",c8ca21af33
Is there a better way to pass Gemini keys to Kestra than exporting them in the shell?,c8ca21af33
Why not just use a notebook for this instead of setting up an orchestrator like Kestra?,193612db63
What problem does Kestra solve in a real AI pipeline that a simple script or notebook doesn’t handle well?,193612db63
"Besides scheduling, what else do you get from orchestration when you move AI work into production?",193612db63
How is Kestra being used in this module apart from just running workflows?,193612db63
"If I build a flow with one AI provider, can I switch to OpenAI, Gemini, or Anthropic later without rewriting the whole thing?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only needed in Module 3?",cce328db64
"For the capstone project, can I use Airflow, Prefect, Dagster, or even just Python instead of Kestra?",cce328db64
"If I build my ingestion pipeline with a plain script or notebook, will that still count for project points?",cce328db64
Why does the course use Kestra in Module 3 if other orchestrators do the same scheduling and retries?,cce328db64
"Can I swap AI providers in Kestra flows, like OpenAI or Gemini, without rewriting the workflow?",cce328db64
"Does Kestra only work with Gemini, or can I plug in OpenAI, Anthropic, Groq, Ollama, or some local model too?",f442efe5b4
"If I already have a flow using Gemini, do I need to rewrite it to switch to another AI provider in Kestra?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the vendor-specific ones like the OpenAI or Gemini plugin?,f442efe5b4
"Can I run a local model through Ollama or LM Studio with Kestra, and will it work like an OpenAI-compatible API?",f442efe5b4
"For providers like Groq or DeepSeek that are OpenAI-compatible, do I just change the base URL in the OpenAI plugin?",f442efe5b4
"Is there a way to build a Kestra flow without editing YAML by hand, like a form or no-code editor?",bfe5502c30
How does the AI Copilot in Kestra work if I just describe the workflow in plain English?,bfe5502c30
Can I use external tools like Claude Code or Codex to create Kestra flows from my editor and send them straight to Kestra?,bfe5502c30
"In Kestra, do I keep my Python script separate from the orchestration part, or is the logic mixed together like in Airflow?",bfe5502c30
"For a simple automation like posting to Slack when a YouTube video goes live, would Kestra be overkill compared to Zapier or n8n?",bfe5502c30
"Why do AI tools like ChatGPT make up Kestra YAML fields that Kestra rejects, and what's the best way to check the right ones?",93a3e8b98c
"In a Kestra flow, why would an AI suggest things like `bucket` or `name` for GCS upload when the plugin actually wants `to`?",93a3e8b98c
"How should I write a BigQuery load step in Kestra without splitting the destination into `projectId`, `dataset`, and `table` if that's not the right schema?",93a3e8b98c
What’s the safest way to make sure generated Kestra YAML matches the plugin version I’m running?,93a3e8b98c
"Does Kestra change plugin properties between versions, and how can I avoid following stale AI-generated examples?",93a3e8b98c
Why do we track token usage in Kestra AI flows instead of just looking at the final result?,a4adc70f41
What’s the main reason to monitor tokens when a workflow keeps calling an LLM on a schedule or in a loop?,a4adc70f41
How does checking token counts help with LLM prompt tuning and output trimming?,a4adc70f41
Can Kestra use token usage as a guardrail so a flow doesn’t run up a huge bill?,a4adc70f41
"Where do I get the token count from in a Kestra AI task response, and can I show it in logs or dashboards?",a4adc70f41
"Why does Docker Desktop say ""mounts denied"" for /tmp when I start Kestra, and how can I get it working again?",dd8b4c9fda
What should I do if Docker won't let the container access /tmp/kestra-wd on my machine?,dd8b4c9fda
Is there a way to fix the shared folder issue in Docker Desktop when Kestra tries to mount a host path?,dd8b4c9fda
How do I allow Docker Desktop to use /tmp or another local path for a container volume?,dd8b4c9fda
"After changing Docker Desktop file sharing settings, do I need to rerun docker compose up for Kestra to start?",dd8b4c9fda
"Why does my Kestra flow keep throwing a 404 NOT_FOUND for the Gemini model, and how do I fix it?",d51bbe2da0
"If the Gemini model used in the course YAML is unavailable on my account, what should I change in the Kestra config?",d51bbe2da0
"Do I need to assume the course Gemini model is permanently gone when I get a 404, or is there another workaround?",d51bbe2da0
Where should I update the model name if I'm using docker-compose instead of only the YAML flow file?,d51bbe2da0
How can I check which Gemini model ids are currently available before rerunning the workflow?,d51bbe2da0
"For the Module 3 Kestra homework, what exactly should I upload to the public repo if most of the work was done in the Kestra UI?",f29f622684
"Do I need to submit the actual Kestra flow YAML files for the homework, or is a README with my answers enough?",f29f622684
"If I changed any scripts that the Kestra flows use, should those files also be included in the repo submission?",f29f622684
Where should I place the Kestra homework files in my GitHub repo before sending the link in the form?,f29f622684
"Are the answers to Q1, Q2, etc. supposed to go in the repo, or do I enter them somewhere else in the homework submission form?",f29f622684
Why do I get `JSONDecodeError: Expecting value` when I try to parse the model output with `json.loads(...)`?,a3c7e1b4f9
How can I make the LLM return only valid JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What should I change in the OpenAI API call so the response is guaranteed to be JSON?,a3c7e1b4f9
What exact prompt instructions should I use so the model outputs a JSON object with a `questions` list of 5 strings?,a3c7e1b4f9
"Does this JSON-only output option exist for other LLM providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter kernel keep dying when I try to embed the ground-truth data in the evaluation notebook?,b8f2d6a30c
What can I do if embedding the dataset in Module 4 crashes on a low-RAM machine or Codespaces?,b8f2d6a30c
"Is there a smaller embedding model I can use instead of the default one, and do I need to rerun the eval after switching?",b8f2d6a30c
Would it help to move the embedding step out of the notebook and run it as a separate Python script?,b8f2d6a30c
How do I avoid memory issues when processing the ground-truth set in batches?,b8f2d6a30c
Why am I still getting rate-limit errors with Gemini even after adding a sleep between requests?,c1e9f4b820
What’s the best cheap alternative if Gemini free tier keeps blocking my ground-truth generation job?,c1e9f4b820
"Can I use Groq instead of Gemini for this, and does its free plan handle a lot of requests?",c1e9f4b820
How can I stop my thread pool from hitting the API too hard when generating labels?,c1e9f4b820
"If the job fails halfway because of quota limits, what’s a good way to continue without starting over?",c1e9f4b820
Why do the Module 4 lesson files go from 06 to 11? Is something missing there?,57c8d3a1e4
"How is Module 4 split up in the lesson filenames, and what do the numbers mean?",57c8d3a1e4
"Are lessons 7 through 10 skipped in Module 4, or is there another reason for that numbering?",57c8d3a1e4
Why does the sequence jump from 06-search-tuning.md to 11-evaluation-intro.md?,57c8d3a1e4
Can you explain the weird numbering in Module 4 without assuming any lessons are missing?,57c8d3a1e4
How can MRR go up if Hit Rate doesn’t change at all?,8a5ece0688
"If a relevant doc is still in the top-k, why would only MRR improve and not Hit Rate?",8a5ece0688
"Is it normal for Hit Rate and MRR to be exactly the same, or does that usually mean a bug?",8a5ece0688
What should I check in my eval code if MRR and Hit Rate come out identical?,8a5ece0688
Can reranking or better embeddings improve the first relevant result’s rank without changing Hit Rate?,8a5ece0688
Where can I find the notebook or code for the agent evaluation lesson?,4de1cb9a3f
Is there a folder in the repo with the agent-evaluation code examples?,4de1cb9a3f
What’s the GitHub path for the code used in the agent evaluation part of Module 4?,4de1cb9a3f
"Which lesson file covers agent evaluation, and where is the related code stored?",4de1cb9a3f
Can you point me to both the agent-evaluation lesson markdown and the code directory?,4de1cb9a3f
How do I fix the WinError 126 / fbgemm.dll missing error on Windows when importing torch?,15e931476c
"If Python says it can’t load fbgemm.dll on Windows, what should I install to solve it?",15e931476c
Do I need Visual Studio or just Visual Studio Code for the PyTorch DLL error on Windows?,15e931476c
"What is the easiest way to get rid of the ""specified module could not be found"" error in torch on Windows?",15e931476c
My Windows machine throws an OSError about torch\lib\fbgemm.dll — what dependencies am I missing?,15e931476c
"I'm getting a psycopg2 OperationalError in prep.py that says it can't translate host name ""postgres"". What should I change to make it work?",4b65d5542d
"Why does my Python script fail with ""could not translate host name postgres to address"" when I run `python prep.py`?",4b65d5542d
How do I fix the database connection error in the monitoring module when `postgres` is not found as a host?,4b65d5542d
"My `.env` has the Postgres host set to `postgres`, but prep.py throws an OperationalError. What is the correct value here?",4b65d5542d
What should the `POSTGRES_HOST` setting be if `python prep.py` gives a psycopg2 host name resolution error?,4b65d5542d
How can I make pandas show the full text in a column instead of cutting it off at 50 characters?,641aedbbf5
What setting do I use to see the whole Explanation column in the offline-rag-evaluation notebook?,641aedbbf5
"Why does pandas keep truncating long strings in my dataframe, and how do I stop it?",641aedbbf5
"Is there a way to display the entire judge LLM explanation without the ""..."" in pandas?",641aedbbf5
What pandas option should I change if I want unlimited column width for text output?,641aedbbf5
How do I normalize each vector stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to make vectors in a Pandas Series unit length?,5039707c1a
Can I use apply to normalize a column of vectors in Pandas?,5039707c1a
How would I write a small function to divide each vector by its norm in a DataFrame column?,5039707c1a
"If my column contains numpy arrays, how can I create a normalized version of that column?",5039707c1a
How can I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to compute a quantile for a Series?,b4c8ac5a0c
How do I find the 0.75 quantile of a DataFrame column in Pandas?,b4c8ac5a0c
Is there a simple method in Pandas to calculate percentiles for one column?,b4c8ac5a0c
How do I use `quantile()` on a Pandas column to get the 75% value?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, including the ones still running?",66ccbb7da0
What command should I use to force-remove all Docker images at once?,66ccbb7da0
How can I delete every Docker volume from my machine using the command line?,66ccbb7da0
"Is there a quick terminal way to clean up all containers, images, and volumes in Docker?",66ccbb7da0
What’s the easiest way to fully reset Docker and remove everything it has stored?,66ccbb7da0
Why does my Streamlit feedback state keep getting reset to True after I click +1 or -1?,2e729f1271
How can I make sure a user can only submit feedback once per prompt in Streamlit?,2e729f1271
My `st.session.submitted` turns True again even after a feedback button is pressed — what am I doing wrong?,2e729f1271
"In Streamlit, how do I disable feedback buttons after the user has already rated a submission?",2e729f1271
Is there a fix for `st.session.submitted` being reassigned when I use ask and feedback buttons in the same app?,2e729f1271
"Why is my SQLite exporter not getting any spans, or why do I see ""Overriding of current TracerProvider is not allowed""?",ba1d5f13e7
"In a notebook, why doesn’t calling `trace.set_tracer_provider(...)` again swap out the old exporter and fill `traces.db`?",ba1d5f13e7
How do I fix the empty `traces.db` problem when I already created a new `TracerProvider`?,ba1d5f13e7
"If I want to create spans with a separate provider, how should I get the tracer from it directly?",ba1d5f13e7
"Why does this issue happen in Jupyter, but not when I run the code as a normal Python script?",ba1d5f13e7
Why does my script hang or hit a RecursionError when I start OpenTelemetry with ConsoleSpanExporter in Module 5 homework?,702399225b
"Do I need to upgrade opentelemetry-api and opentelemetry-sdk for Python 3.14, and how can I check the installed versions?",702399225b
"After upgrading OpenTelemetry, do I need to restart the notebook kernel or Python process before rerunning the exporter example?",702399225b
"If I can’t update OpenTelemetry, is it okay to just switch to Python 3.13 for the homework instead?",702399225b
"For the SQLite task, can I use a simplified custom exporter, or do I need the full SQLiteSpanExporter with shutdown() and force_flush()?",702399225b
"How can I use the monitoring homework with Groq or Gemini instead of OpenAI, since they use Chat Completions?",01517c80df
"Do I need to fake an OPENAI_API_KEY in starter.py, or should I set up the client differently for another provider?",01517c80df
What parts of RAGWithMetrics have to change when the provider returns tokens and answers in Chat Completions fields instead of the Responses API?,01517c80df
"Why does Groq give a 404 when I use an OpenAI model name, and how do I pick the right model ID?",01517c80df
"If the first request is too big for the token limit, what should I change in RAGBase to make the prompt smaller?",01517c80df
Why does docker-compose say `streamlit` is not found in `$PATH` even though the app works when I run it locally?,e8df9f0d12
What do I need to add so my Streamlit app can start correctly inside docker-compose?,e8df9f0d12
Do I have to create a Dockerfile first before trying to run the Streamlit app with docker-compose?,e8df9f0d12
"After changing my compose setup for Streamlit, what command should I run to rebuild everything and start it again?",e8df9f0d12
How can I fix the OCI runtime error when docker-compose fails to launch my Streamlit container?,e8df9f0d12
"Can we do the capstone as a team, or does everyone need to submit their own project?",0fab61eca2
"If I discuss the idea with classmates, is that still okay for the capstone?",0fab61eca2
Can two people work on one system if we split the work into separate parts for the project?,0fab61eca2
Does each person need their own repo for the capstone submission?,0fab61eca2
How strict is the rule about the project being evaluated separately for each student?,0fab61eca2
"Do I need to send in two capstone projects, or is one enough?",d5fc98925d
What’s the difference between attempt #1 and attempt #2 for the project submission?,d5fc98925d
"If my first capstone submission doesn’t pass, can I fix it and upload it again later?",d5fc98925d
"Can I submit a second project just to get extra practice or feedback, and if so does it have to be a different dataset and task?",d5fc98925d
"If I miss the first submission window, can I still submit in the second one and keep working toward the certification?",d5fc98925d
"Is the competition the same thing as the capstone project, or are they separate?",e892d44e42
Can I use the competition as my capstone for the course?,e892d44e42
"If I join the math-kaggle-llm competition, does that count toward my capstone requirement?",e892d44e42
Are we allowed to do the competition in teams even though the capstone is individual?,e892d44e42
How does the capstone work if I want to participate in the competition with a group?,e892d44e42
How will the capstone projects be graded in the course?,9a2e2d2008
Who reviews my capstone submission after I send it in?,9a2e2d2008
Do I also need to review other students' projects for capstone?,9a2e2d2008
What happens if I don't grade the required number of peer projects?,9a2e2d2008
How is the final capstone score calculated from the reviewers' grades?,9a2e2d2008
"After I submit my capstone project, how do I find out which projects I need to review?",eae0fb50aa
Where can I see the peer-review assignments for capstone projects once submissions are closed?,eae0fb50aa
"Do we get our grading/review tasks right away, or only after the submission window ends?",eae0fb50aa
How do I check the separate deadline for the peer reviews on the course platform?,eae0fb50aa
"Once project submissions are closed, what’s the process for getting assigned review work?",eae0fb50aa
"I already submitted my capstone project, so why am I still not seeing any projects to review?",a8a7fef016
"After the submission deadline passes, how do project evaluations get assigned to us?",a8a7fef016
"Can I pick which capstone projects I want to evaluate, or is the assignment automatic?",a8a7fef016
Why is the review list not available yet even though I’ve finished my submission?,a8a7fef016
Do I have to wait until the deadline is over before I can start reviewing other projects?,a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with example datasets and topics I can use for this project?,e76a70cde3
What’s the best place to get inspiration and guidelines for the capstone project dataset?,e76a70cde3
Do you have a GitHub link with ideas and possible datasets for the project?,e76a70cde3
How can I find some good starting points for choosing a dataset and project idea?,e76a70cde3
"Do I really need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion pipeline in a Jupyter notebook, do I still get full credit?",d4f7c08ea1
How many points is a notebook-based ingestion pipeline worth compared with a Python script?,d4f7c08ea1
"Should I add an orchestration tool only for the capstone grading, or only when my project actually needs it?",d4f7c08ea1
"When does it make sense to use an orchestrator in the capstone, like for a daily-updating data feed?",d4f7c08ea1
How can I evaluate a recommender-style RAG project when there isn't a clear ground-truth answer for each query?,9b0e2d6a47
What's a good way to create synthetic test questions for items so I can measure retrieval quality on my recommender RAG?,9b0e2d6a47
"If I want to score retrieval for ranking-style results, which metrics should I use besides hit rate?",9b0e2d6a47
How do people use an LLM as a judge to rate the end-to-end output of a RAG system?,9b0e2d6a47
"For a recommender RAG where several results could be acceptable, is NDCG a better metric than hit rate?",9b0e2d6a47
"For a really big corpus with long PDFs, what chunking approach should I start with so I’m not overthinking it?",6f2a8b3d10
Is it worth asking an LLM to split docs into sections instead of using basic fixed-size chunks?,6f2a8b3d10
"Would adding short summaries to each chunk actually help retrieval, or is that overkill?",6f2a8b3d10
"When I’m dealing with legal or financial docs, should I stick to dense search or use BM25 too?",6f2a8b3d10
What tools do you recommend for turning PDFs into cleaner markdown before I chunk them up?,6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers actually need my API keys?",e5d8a2c761
How should I set up the repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Should I include my credentials in the project, or is there a safer way to handle environment variables?",e5d8a2c761
"What should go into a .env.example file for the project, and where should the real .env live?",e5d8a2c761
Do I need to pin package versions and mention Python or Docker versions in the README for reviewers?,e5d8a2c761
"Can I do the homework and capstone in a language other than Python, like JavaScript, Go, or Rust?",ea815eb858
"Is it okay to use TypeScript or Java instead of Python for the final project, or is Python expected?",ea815eb858
"If I build the project in a non-Python stack, what kind of README or setup instructions do I need to include?",ea815eb858
"Will a project in R, C#, or Scala be accepted, and does the reviewer need special instructions to run it?",ea815eb858
"What should I show in the submission so a project outside Python is still easy to install and reproduce on Windows, macOS, and Linux?",ea815eb858
Where can I see old LLM Zoomcamp capstone projects from past cohorts?,930286278d
Is there a page with submitted LLM Zoomcamp projects I can browse for ideas?,930286278d
Can I look at 2024 and 2025 LLM Zoomcamp project examples somewhere?,930286278d
Where do I find previous capstone submissions to get a sense of project scope?,930286278d
Are there any public links with LLM Zoomcamp project repositories from earlier years?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
Is there any requirement to announce my project topic ahead of time in the capstone?,897a350476
Can I choose a project that is similar to someone else’s previous capstone project?,897a350476
"If I want feedback on my project idea, should I post it somewhere like Slack?",897a350476
Are we allowed to reuse the same general topic as earlier projects as long as the implementation is my own?,897a350476
Can I make my capstone project as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use something like a Slack app or CLI?",7318a90b14
Are there any rules about what kind of user interface I should choose for the capstone?,7318a90b14
"If I build the project in a notebook or as a bot, will that still count for evaluation?",7318a90b14
"Does the course show how to build these interfaces, or do I need to set that up myself?",7318a90b14
"What tool should I use to pull text out of PDFs for my RAG project, or is it totally up to me?",d8b28c47a0
I have scanned PDFs with no text layer — what’s the best way to OCR them for RAG?,d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured to extract text from documents for a RAG pipeline?",d8b28c47a0
Is there a recommended OCR service or library for image-based PDFs in the capstone project?,d8b28c47a0
"After I extract text from PDFs, what’s the next step for preparing docs for RAG?",d8b28c47a0
"Do we need to have a minimum number of documents or rows for the capstone project, or is any dataset size okay?",f0439b5faf
How much data should I pick for the capstone so that the retrieval or agent flow can be properly tested?,f0439b5faf
"Will reviewers reject a capstone project if the dataset is small, or do they use some other evaluation criteria?",f0439b5faf
"Is there any required dataset size for the capstone, or should I just use enough data to show meaningful results?",f0439b5faf
"For the capstone project, do the reviewers care about how many records I have, or only about how well the solution is evaluated?",f0439b5faf
"Can I use a static file instead of a live API for my capstone project data, or does it have to be an API source?",2cf500aae6
"Is it okay if I build my own dataset for the capstone, or does the data need to come from an external API?",2cf500aae6
"For the capstone project, do reviewers expect the knowledge base to be reproducible from the data I provide?",2cf500aae6
What do I need to do so my capstone project gets full reproducibility points for the data/ingestion part?,2cf500aae6
"Does the project evaluation require the data source to be live, or can I submit something more self-contained?",2cf500aae6
"Can I build my capstone project with a dataset in another language, or does it need to be in English?",5ffe92bb02
Is it okay if the app responses are not in English for the capstone?,5ffe92bb02
Do I have to write the README and setup steps in English even if my project data is in a different language?,5ffe92bb02
"If I use a non-English dataset, will that be acceptable for the capstone review?",5ffe92bb02
What parts of the capstone project need to be in English for reviewers to run and check it?,5ffe92bb02
"For the capstone project, do I have to use a document-based dataset, or can I work with structured data like tables and records?",6baab508b1
Can I build the capstone with database schemas or table descriptions instead of documents?,6baab508b1
"If I use structured data for the project, do I still need some kind of retrieval or query step in the flow?",6baab508b1
Is it okay for the capstone to be an end-to-end RAG or agent setup on structured records rather than PDFs or text docs?,6baab508b1
"When using non-document data in the capstone, what should I evaluate the project against?",6baab508b1
"Is it okay to use Evidently in the capstone project, or should I avoid it?",ec22c5eb86
Can I rely on Evidently as part of my capstone project work?,ec22c5eb86
"For the capstone project, am I allowed to use Evidently?",ec22c5eb86
Would using Evidently be acceptable for the capstone project submission?,ec22c5eb86
Do we have permission to include Evidently in the capstone project?,ec22c5eb86
"Do I need to come up with a totally original capstone project idea, or can I build something that's already been done?",4179bc68b6
Is it okay if my capstone is based on an existing project as long as I implement it myself?,4179bc68b6
"Can I use the same dataset from the lectures or homework for my capstone, or should I choose a different one?",4179bc68b6
"For the capstone project, is reusing a course dataset allowed if I change the model or approach?",4179bc68b6
"Does the capstone have to be a new idea from scratch, or can I recreate an existing one with my own implementation?",4179bc68b6
"For the capstone submission, do I need to paste the latest commit hash or some older one in the Commit ID box?",82207724ff
"When I send my project, should I first push all changes and then use the commit from my main branch, or can I submit before pushing?",82207724ff
How do I quickly find the 7-character commit ID for my repo on GitHub to put in the form?,82207724ff
"If I make more changes after submitting the project, will the reviewer still see them, or only the exact commit I entered?",82207724ff
What should I do if I forgot to include a fix before the deadline—can I push it and replace the commit ID in the submission?,82207724ff
How much time do we usually get to finish peer reviews after they get assigned?,785b277339
"When does the review period start for the capstone project, and how long does it stay open?",785b277339
Where should I check the real deadline for my assigned peer reviews?,785b277339
Can I still get credit if I submit the review after the window closes?,785b277339
"Is there a fixed number of days for peer reviews, or can the deadline move a bit?",785b277339
"Can I use the dlt workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
"Is it okay to reuse the workshop materials for another Zoomcamp project, like the MLOps one?",d850a0e7ea
"Since dlt is open source, does that mean I can take the workshop ideas and apply them directly in my own projects?",d850a0e7ea
Am I allowed to share or repurpose the workshop content if I want to build something outside the course?,d850a0e7ea
"What’s the best way to use this workshop material in real projects, and can I ask questions if I get stuck?",d850a0e7ea
How do I initialize a new dlt project for loading data from cloud storage into DuckDB?,6bceeebf04
What command should I run to set up a fresh dlt filesystem source project?,6bceeebf04
I'm starting with cloud files and DuckDB in dlt — what's the init command?,6bceeebf04
How can I create a new dlt project for a filesystem-based pipeline?,6bceeebf04
Where do I begin if I want to load cloud data with dlt and DuckDB?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"What should I check if my pipeline says I need to call `db.create_table(notion_pages___homework, data)` first?",0407213397
"I renamed the table to `homework`, but it still errors on `employee_handbook` — what did I miss?",0407213397
How can I fix the `notion_pages___homework` table not found issue in the dlt workshop?,0407213397
Do I need to replace every `employee_handbook` reference with `homework` for the table to work?,0407213397
Why do I get FileNotFoundError that says the notion_pages___homework table does not exist when I run main()?,e95bfafc0e
What should I put on line 3 if opening the table fails with Table notion_pages___homework does not exist?,e95bfafc0e
Is there a specific db.open_table name I need to use for the homework table in the dlt workshop?,e95bfafc0e
"How do I fix the error when the code says I need to call db.create_table(notion_pages___homework, data) first?",e95bfafc0e
"In the open-source data ingestion homework, which table name should I open to avoid the missing table error?",e95bfafc0e
How can I list all the tables that are currently in the database?,e394e6f738
Is there a way to see the table names from the db object?,e394e6f738
What method should I call if I want to check which tables exist in the database?,e394e6f738
How do I inspect the database and get a list of its tables?,e394e6f738
Can I use db.table_names() to find out what tables are there?,e394e6f738
"Does DLT already support ClickHouse or StarRocks connectors, or are they still missing?",cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks right now?,cd19f122f3
"Are there any built-in DLT connectors for ClickHouse and StarRocks, or do I need to add them myself?",cd19f122f3
"If DLT doesn’t have ClickHouse or StarRocks connectors yet, is the project open to community contributions?",cd19f122f3
"Is there a plan for ClickHouse or StarRocks support in DLT, or would someone need to contribute those connectors?",cd19f122f3
Why am I getting a 401 unauthorized error when the notebook tries to call the Notion search API?,0dfba07ace
What should I check if my notebook says it has no secret access to the Notion API?,0dfba07ace
Could this Notion API error be caused by a bad token or expired credentials?,0dfba07ace
How do I troubleshoot an authorization problem with the api.notion.com search request in the workshop notebook?,0dfba07ace
What are the main things to verify when Notion API access fails in the dlt workshop notebook?,0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb needs 2.32, and how do I force the newer one?",4b30b918bc
Is there a way to install requests straight from the upstream source instead of the old PyPI version?,4b30b918bc
I’m getting a 401 Client Error during setup — could this mean my key is wrong or access isn’t granted?,4b30b918bc
What exact pip command should I use to grab requests v2.32.3 from GitHub?,4b30b918bc
How can I fix the requests version mismatch in the dlt workshop without changing lancedb itself?,4b30b918bc
Why am I getting 401 Unauthorized with my EU Logfire token even though the token looks valid?,46efd1088d
"Do I need to set a Logfire base URL manually for EU tokens, or should `logfire.configure()` figure it out itself?",46efd1088d
Could `load_dotenv()` be the reason my app is picking up the wrong Logfire token from `.env`?,46efd1088d
How do I make sure `LOGFIRE_TOKEN` is really the write token and not the read token?,46efd1088d
When does it make sense to upgrade Logfire or set `LOGFIRE_BASE_URL=https://logfire-eu.pydantic.dev` as a fallback?,46efd1088d
"Can I point dlt at two JSONL log folders and load them into one pipeline run, like Claude and Codex logs together?",671f72f4c4
"If I have several directories with the same JSONL shape, do I need a separate pipeline for each one or can I reuse one?",671f72f4c4
How do I combine multiple filesystem resources in dlt so they all end up in the same DuckDB dataset and table?,671f72f4c4
What’s the easiest way to load different agent log folders with dlt while keeping the same schema and appending records?,671f72f4c4
"For mixed log files from different tools, should I still use the same JSONL loader or is there a better pattern like a raw reader?",671f72f4c4
"In the deployment lesson, my `dlt.attach()` example uses `agent_logs`, but my REST API pipeline writes something else. What dataset name should I actually put in the dashboard code?",c306f20bf3
"Why does the `dlt.attach(""agent_traces"", destination=""playground"", dataset_name=""agent_logs"")` snippet not work for the REST API pipeline?",c306f20bf3
How can I check the correct `dataset_name` in my `rest_api_pipeline.py` before attaching the dashboard?,c306f20bf3
"Is `agent_logs` only for the filesystem pipeline, and what should I use for the REST API version instead?",c306f20bf3
What should I change in the dashboard attach call so it connects to the data my deployed pipeline produced?,c306f20bf3
How do I switch the agent in `homework/agent.py` from OpenAI to Gemini?,dd53e420ef
What exact model string should I use in `Agent(...)` if I want Gemini instead of the OpenAI provider?,dd53e420ef
"Do I need to modify `SearchDeps`, the instructions, or the `@faq_agent.tool` function when changing to Gemini?",dd53e420ef
Which API key should I put in `.env` for the Gemini version of the agent?,dd53e420ef
"Can I just replace `openai:` with `google:` in `agent.py`, or is there anything else I need to update?",dd53e420ef
Why am I getting fewer spans or tokens in the dlt workshop than I expected?,8ede00dc4c
Do I need to wait before running the ingestion pipeline after the agent finishes?,8ede00dc4c
How can I make sure Logfire has exported the whole trace before querying it?,8ede00dc4c
Why shouldn’t I hard-code an expected number of spans for this workshop?,8ede00dc4c
"For Question 3, which token fields should I compare to check that the trace is complete?",8ede00dc4c
"Why am I getting DuckDB’s ""Ambiguous reference to catalog or schema"" error in my dlt pipeline, and what’s the simplest fix?",8ca99429d0
"In dlt with DuckDB, do the pipeline name and dataset name need to be different? What happens if they’re the same?",8ca99429d0
How can I set up a dlt pipeline so DuckDB doesn’t confuse the database file with the schema name?,8ca99429d0
Can I avoid the DuckDB catalog/schema error by using a custom .duckdb filename instead of the default one?,8ca99429d0
I already loaded data into a DuckDB file—how do I make dlt use that existing database instead of creating a new empty one?,8ca99429d0
Where can I find the latest dlt workshop materials for this Zoomcamp?,e00ceb24be
Is there a folder with the current open-source data ingestion workshop instructions and video link?,e00ceb24be
Where should I look in the repo for the 2026 dlt workshop resources?,e00ceb24be
Can you point me to the current workshop directory for dlt in llm-zoomcamp?,e00ceb24be
Where are the updated dlt workshop files and recording stored?,e00ceb24be
